Actual,Predicted,Mean
12.0,9.323147962258531,11
2.0,2.89039237355599,10
5.0,6.486233899758532,11
5.0,4.65894706105599,10
5.0,5.78785331105599,10
14.0,8.206448743508531,11
15.0,8.338772962258531,11
7.0,6.591702649758532,11
2.0,4.35621268605599,10
4.0,6.369046399758532,11
7.0,5.582913587258532,11
2.0,8.556823202163615,13
23.0,15.724515149758531,11
17.0,10.305219957211074,12
4.0,5.605862806008532,11
6.0,10.294339368508531,11
14.0,11.044827649758531,11
1.0,16.129438707211072,12
11.0,9.762112806008531,11
11.0,5.06715018605599,10
3.0,3.20093924855599,10
3.0,4.52320487355599,10
11.0,8.237210462258531,11
8.0,7.356351087258532,11
16.0,11.771878431008531,11
0.0,5.949612806008532,11
4.0,8.215026327163615,13
5.0,16.624555894711072,12
20.0,8.274319837258531,11
2.0,10.487210462258531,11
5.0,6.27906424855599,10
5.0,7.715376207211074,12
1.0,4.471585462258532,11
8.0,6.787991712258532,11
6.0,8.323424764663615,13
9.0,7.372464368508532,11
2.0,8.215026327163615,13
23.0,10.718094415866158,14
8.0,6.546292493508532,11
0.0,11.664456556008531,11
3.0,3.70875174855599,10
12.0,10.150296399758531,11
18.0,10.985395738461074,12
4.0,8.448424764663615,13
6.0,9.049222181008531,11
18.0,9.116116712258531,11
3.0,3.4884638271636152,13
2.0,2.11597831105599,10
6.0,9.020901868508531,11
6.0,9.149808118508531,11
12.0,8.494046399758531,11
7.0,12.141995618508531,11
12.0,5.031155774758532,11
7.0,10.178616712258531,11
12.0,8.215026327163615,13
23.0,12.196194837258531,11
3.0,4.930569837258532,11
4.0,13.212934800961074,12
10.0,13.332075425961074,12
4.0,4.52027518605599,10
7.0,10.471585462258531,11
2.0,2.65699393605599,10
16.0,10.102721639663615,13
6.0,6.890042493508532,11
1.0,4.180569837258532,11
2.0,2.65699393605599,10
15.0,6.333890149758532,11
4.0,6.87867362355599,10
13.0,8.850979993508531,11
0.0,8.5063187545687,15
10.0,7.743069837258532,11
18.0,8.215026327163615,13
9.0,7.170315931008532,11
14.0,6.159573743508532,11
22.0,10.774319837258531,11
12.0,9.451077649758531,11
5.0,10.101956556008531,11
5.0,7.200101087258532,11
4.0,8.448424764663615,13
23.0,12.484280774758531,11
8.0,8.762601087258531,11
6.0,12.459866712258531,11
1.0,7.951077649758532,11
23.0,10.077192613461074,12
2.0,9.665921399758531,11
9.0,8.703030774758531,11
6.0,11.216702649758531,11
7.0,9.075589368508531,11
6.0,11.519925306008531,11
9.0,8.565823743508531,11
9.0,6.902249524758532,11
3.0,5.816312024758532,11
23.0,10.167036363461074,12
11.0,7.20679862355599,10
6.0,7.139065931008532,11
3.0,13.467329332211074,12
1.0,2.65699393605599,10
5.0,6.376858899758532,11
4.0,12.390530774758531,11
23.0,11.661315389663615,13
13.0,9.383206556008531,11
4.0,5.246487806008532,11
4.0,10.434476087258531,11
3.0,9.107327649758531,11
1.0,5.649808118508532,11
5.0,9.656155774758531,11
2.0,5.98804862355599,10
11.0,8.559964368508531,11
7.0,11.384183118508531,11
11.0,8.059476087258531,11
2.0,7.220120618508532,11
10.0,11.295942613461074,12
7.0,6.728421399758532,11
23.0,13.340026327163615,13
5.0,9.963772962258531,11
23.0,10.370022962258531,11
3.0,7.681058118508532,11
23.0,14.001997300961074,12
23.0,9.020901868508531,11
7.0,5.711331556008532,11
0.0,4.68775565480599,10
5.0,2.65748221730599,10
8.0,10.334866712258531,11
3.0,9.821194837258531,11
11.0,5.105374524758532,11
5.0,3.35425956105599,10
14.0,6.16578299855599,10
5.0,7.836819837258532,11
23.0,11.909573743508531,11
2.0,13.941312024758531,11
4.0,6.780667493508532,11
9.0,5.21265799855599,10
8.0,11.057173082211074,12
4.0,6.795804212258532,11
7.0,8.395901868508531,11
3.0,8.448424764663615,13
4.0,3.74634940480599,10
14.0,5.496976087258532,11
2.0,3.90113456105599,10
3.0,5.02857596730599,10
10.0,9.617581556008531,11
13.0,13.582913587258531,11
1.0,4.91187674855599,10
4.0,2.89039237355599,10
1.0,5.333890149758532,11
7.0,7.655667493508532,11
23.0,11.158108899758531,11
2.0,5.099026868508532,11
6.0,6.918362806008532,11
7.0,7.401761243508532,11
5.0,12.812544175961074,12
7.0,14.040083238461074,12
6.0,3.90211112355599,10
22.0,9.593655774758531,11
9.0,11.432522962258531,11
16.0,11.377835462258531,11
23.0,7.426663587258532,11
6.0,3.73511893605599,10
23.0,13.847073743508531,11
6.0,3.01929862355599,10
5.0,8.919966050961074,12
1.0,2.31422049855599,10
7.0,7.800687024758532,11
3.0,11.080960462258531,11
2.0,8.308499524758531,11
17.0,13.324124524758531,11
9.0,4.79175956105599,10
8.0,4.989163587258532,11
23.0,14.418362806008531,11
10.0,4.07349784230599,10
0.0,4.21363456105599,10
7.0,13.161038587258531,11
23.0,10.718094415866158,14
8.0,8.221585462258531,11
5.0,8.691800306008531,11
11.0,10.546919175961074,12
4.0,8.556823202163615,13
6.0,11.553755113461074,12
9.0,9.205960462258531,11
15.0,14.182522962258531,11
6.0,10.791336603366158,14
2.0,7.278226087258532,11
1.0,2.89039237355599,10
2.0,7.754926988461074,12
3.0,6.166409681008532,11
7.0,6.08863456105599,10
5.0,15.170942613461074,12
12.0,8.387601087258531,11
8.0,6.224515149758532,11
11.0,12.268460462258531,11
20.0,7.296780774758532,11
20.0,13.423733899758531,11
4.0,2.99927909230599,10
3.0,2.89039237355599,10
2.0,10.018460462258531,11
5.0,8.820218274758531,11
21.0,17.60342139975853,11
2.0,9.227444837258531,11
5.0,5.661038587258532,11
4.0,5.971097181008532,11
11.0,7.706937024758532,11
11.0,6.755276868508532,11
6.0,9.159085462258531,11
14.0,9.303128431008531,11
4.0,6.541897962258532,11
5.0,6.59107596730599,10
23.0,9.684614488461074,12
7.0,12.365628431008531,11
10.0,8.013577649758531,11
10.0,3.20240409230599,10
20.0,15.251858899758531,11
7.0,5.167386243508532,11
13.0,9.718167493508531,11
1.0,7.320218274758532,11
1.0,6.00465018605599,10
6.0,5.347562024758532,11
0.0,4.80445487355599,10
9.0,8.647854993508531,11
15.0,12.294477769711074,12
7.0,6.971723863461074,12
0.0,5.335981675961074,12
3.0,6.786526868508532,11
23.0,10.655179212258531,11
23.0,15.421780774758531,11
2.0,8.751858899758531,11
5.0,17.458051988461072,12
8.0,8.324612806008531,11
2.0,12.167874524758531,11
12.0,5.88160331105599,10
2.0,2.99927909230599,10
2.0,2.99927909230599,10
4.0,6.104886243508532,11
9.0,8.84547049855599,10
7.0,3.952054212258532,11
5.0,8.448424764663615,13
21.0,9.202542493508531,11
7.0,9.426175306008531,11
2.0,7.857327649758532,11
17.0,4.58179862355599,10
1.0,2.65699393605599,10
3.0,3.63062674855599,10
7.0,11.188032457211074,12
15.0,7.432034681008532,11
0.0,6.386624524758532,11
9.0,9.206937024758531,11
15.0,6.50855643605599,10
15.0,8.420804212258531,11
18.0,4.35718924855599,10
5.0,7.353909681008532,11
3.0,6.170804212258532,11
3.0,6.007018514663615,13
23.0,10.173384019711074,12
3.0,7.862210462258532,11
6.0,10.405179212258531,11
3.0,8.348538587258531,11
1.0,4.29029471730599,10
0.0,6.872464368508532,11
2.0,8.215026327163615,13
7.0,7.749905774758532,11
8.0,7.438382337258532,11
17.0,13.950101087258531,11
5.0,15.169477769711074,12
8.0,7.041409681008532,11
5.0,6.102933118508532,11
14.0,8.101606675961074,12
8.0,8.801663587258531,11
9.0,11.723538587258531,11
3.0,12.586331556008531,11
7.0,11.414456556008531,11
5.0,7.830960462258532,11
6.0,5.151272962258532,11
4.0,7.053266832211074,12
2.0,3.03590018605599,10
2.0,7.313382337258532,11
2.0,6.480374524758532,11
9.0,12.617581556008531,11
11.0,8.448424764663615,13
13.0,10.627973863461074,12
3.0,5.801663587258532,11
1.0,10.718094415866158,14
23.0,7.185452649758532,11
2.0,4.71851737355599,10
11.0,4.305569837258532,11
7.0,11.856351087258531,11
11.0,13.006391832211074,12
2.0,5.550687024758532,11
8.0,6.361233899758532,11
3.0,10.263577649758531,11
16.0,11.772366712258531,11
2.0,2.89039237355599,10
19.0,5.107327649758532,11
22.0,8.879300306008531,11
6.0,8.828519056008531,11
7.0,7.340237806008532,11
9.0,8.732815931008531,11
9.0,10.147854993508531,11
3.0,9.917386243508531,11
23.0,13.670454332211074,12
6.0,7.928128431008532,11
9.0,8.293362806008531,11
8.0,5.821683118508532,11
7.0,3.57496268605599,10
6.0,8.578519056008531,11
3.0,4.58668143605599,10
9.0,6.308499524758532,11
10.0,5.370999524758532,11
23.0,10.718094415866158,14
0.0,3.48658377980599,10
3.0,2.89039237355599,10
23.0,13.687055894711074,12
7.0,7.089749524758532,11
5.0,7.507229993508532,11
10.0,12.428266832211074,12
23.0,9.626020738461074,12
17.0,6.967190931008532,11
2.0,8.649319837258531,11
15.0,8.215026327163615,13
6.0,8.030179212258531,11
19.0,14.331937024758531,11
23.0,6.398343274758532,11
1.0,7.537015149758532,11
2.0,5.88502127980599,10
5.0,5.958890149758532,11
13.0,9.657132337258531,11
0.0,8.971585462258531,11
2.0,6.255276868508532,11
16.0,12.301663587258531,11
13.0,6.277249524758532,11
2.0,6.21168143605599,10
6.0,5.05884940480599,10
4.0,3.40211112355599,10
1.0,2.65699393605599,10
9.0,9.195218274758531,11
2.0,6.439847181008532,11
2.0,8.663268514663615,13
9.0,11.922407457211074,12
9.0,10.121976087258531,11
5.0,12.894575425961074,12
0.0,3.86646659230599,10
3.0,6.609280774758532,11
3.0,10.992093274758531,11
23.0,11.397366712258531,11
12.0,8.663268514663615,13
10.0,8.189847181008531,11
14.0,10.919339368508531,11
6.0,14.789456556008531,11
4.0,11.246137925961074,12
5.0,9.064358899758531,11
9.0,12.713284681008531,11
8.0,6.545315931008532,11
3.0,3.775296399758532,11
4.0,6.950101087258532,11
8.0,5.82398612355599,10
9.0,4.583890149758532,11
21.0,9.051175306008531,11
15.0,9.269437024758531,11
3.0,4.16334159230599,10
18.0,8.093794175961074,12
2.0,5.30933768605599,10
8.0,6.009809800961074,12
9.0,9.414456556008531,11
5.0,8.219632337258531,11
18.0,7.37476737355599,10
16.0,11.466214368508531,11
5.0,8.448424764663615,13
1.0,7.707913587258532,11
4.0,6.883694837258532,11
23.0,14.729536363461074,12
8.0,7.020901868508532,11
10.0,10.534712144711074,12
3.0,4.18336112355599,10
2.0,3.971585462258532,11
6.0,5.19800956105599,10
10.0,7.482327649758532,11
6.0,4.697659681008532,11
7.0,9.021878431008531,11
4.0,5.487837144711074,12
7.0,9.415921399758531,11
1.0,6.734280774758532,11
0.0,6.214049764663615,13
4.0,12.930081556008531,11
5.0,9.787153550961074,12
23.0,8.215026327163615,13
5.0,7.649808118508532,11
12.0,13.042874524758531,11
1.0,8.448424764663615,13
4.0,11.990628431008531,11
6.0,5.833890149758532,11
5.0,9.414944837258531,11
4.0,8.753323743508531,11
23.0,14.700101087258531,11
12.0,9.438870618508531,11
19.0,8.140530774758531,11
0.0,6.633206556008532,11
7.0,9.470120618508531,11
6.0,6.480374524758532,11
0.0,3.48658377980599,10
18.0,11.920804212258531,11
23.0,12.147016832211074,12
5.0,4.51636893605599,10
6.0,7.502347181008532,11
12.0,5.785550306008532,11
5.0,4.94996268605599,10
18.0,10.108792493508531,11
7.0,7.446683118508532,11
7.0,5.184476087258532,11
1.0,7.463284681008532,11
5.0,6.887601087258532,11
3.0,5.72340018605599,10
4.0,6.704495618508532,11
2.0,7.38648612355599,10
13.0,4.401272962258532,11
3.0,7.739163587258532,11
13.0,10.689358899758531,11
4.0,3.08424002980599,10
9.0,9.697659681008531,11
23.0,13.971097181008531,11
11.0,8.931058118508531,11
23.0,12.990416952163615,13
15.0,10.366116712258531,11
14.0,8.425198743508531,11
10.0,9.441450425961074,12
7.0,5.915921399758532,11
14.0,13.150296399758531,11
11.0,8.306546399758531,11
7.0,6.884671399758532,11
9.0,11.505765149758531,11
2.0,12.318265149758531,11
23.0,15.396040269711074,12
16.0,6.360257337258532,11
23.0,9.988187024758531,11
13.0,11.682799764663615,13
4.0,5.27857596730599,10
4.0,8.215026327163615,13
8.0,7.912991712258532,11
2.0,2.82007987355599,10
4.0,6.827542493508532,11
16.0,12.246137925961074,12
5.0,6.94410331105599,10
8.0,8.612698743508531,11
17.0,8.737210462258531,11
2.0,4.634671399758532,11
2.0,3.25416190480599,10
4.0,7.831937024758532,11
19.0,5.901272962258532,11
4.0,5.596097181008532,11
6.0,13.016507337258531,11
5.0,6.216702649758532,11
17.0,8.215026327163615,13
7.0,13.927290269711074,12
11.0,6.355862806008532,11
15.0,9.740140149758531,11
1.0,5.39625174855599,10
9.0,6.43433768605599,10
10.0,4.78785331105599,10
5.0,5.195218274758532,11
10.0,12.429104993508531,11
6.0,9.739163587258531,11
3.0,8.672757337258531,11
13.0,5.88160331105599,10
2.0,9.596235582211074,12
23.0,11.661176988461074,12
5.0,6.011624524758532,11
16.0,8.810940931008531,11
10.0,9.652737806008531,11
2.0,8.215026327163615,13
11.0,10.375394056008531,11
18.0,12.957425306008531,11
11.0,6.545804212258532,11
17.0,9.945218274758531,11
9.0,8.102933118508531,11
23.0,15.696821519711074,12
1.0,2.89039237355599,10
20.0,8.028226087258531,11
23.0,8.808987806008531,11
4.0,8.215026327163615,13
1.0,3.83472831105599,10
4.0,7.592679212258532,11
5.0,6.633694837258532,11
5.0,6.593794175961074,12
23.0,8.357815931008531,11
12.0,7.17164237355599,10
6.0,4.964887925961074,12
4.0,6.378812024758532,11
23.0,9.246976087258531,11
5.0,5.62086112355599,10
14.0,9.199124524758531,11
7.0,8.243069837258531,11
22.0,13.725630113461074,12
23.0,13.349515149758531,11
7.0,10.974026868508531,11
9.0,8.215026327163615,13
7.0,8.104886243508531,11
-1.0,3.855374524758532,11
23.0,18.58193702475853,11
4.0,5.751858899758532,11
3.0,6.468655774758532,11
20.0,8.448424764663615,13
4.0,9.156294175961074,12
5.0,6.391507337258532,11
4.0,5.873440931008532,11
8.0,7.781155774758532,11
23.0,15.830122300961074,12
1.0,3.51441581105599,10
16.0,10.370999524758531,11
23.0,9.120999524758531,11
6.0,8.349026868508531,11
6.0,5.04810721730599,10
7.0,8.943753431008531,11
4.0,6.290921399758532,11
2.0,10.601606675961074,12
23.0,7.436429212258532,11
21.0,13.557522962258531,11
4.0,7.376858899758532,11
10.0,12.358304212258531,11
23.0,10.010786363461074,12
3.0,4.476468274758532,11
2.0,4.55299002980599,10
3.0,8.700239488461074,12
1.0,12.281782457211074,12
15.0,15.918989488461074,12
3.0,6.366116712258532,11
-1.0,7.234280774758532,11
23.0,8.856351087258531,11
6.0,7.537991712258532,11
14.0,8.378323743508531,11
1.0,8.448424764663615,13
6.0,7.413968274758532,11
10.0,5.672895738461074,12
4.0,4.32349784230599,10
12.0,5.236233899758532,11
3.0,2.89039237355599,10
12.0,4.57105643605599,10
23.0,8.663268514663615,13
2.0,5.119534681008532,11
6.0,10.772854993508531,11
6.0,4.26881034230599,10
2.0,4.94019706105599,10
5.0,6.742093274758532,11
1.0,6.243558118508532,11
23.0,14.247114488461074,12
1.0,5.41480643605599,10
2.0,8.629788587258531,11
13.0,11.328030774758531,11
5.0,8.103421399758531,11
8.0,5.38453299855599,10
4.0,10.592606134616158,14
3.0,4.01050956105599,10
7.0,7.652249524758532,11
3.0,3.36500174855599,10
2.0,4.77271659230599,10
13.0,7.415921399758532,11
4.0,12.744534681008531,11
2.0,7.195218274758532,11
2.0,8.121976087258531,11
2.0,8.215026327163615,13
8.0,5.778226087258532,11
2.0,2.65699393605599,10
9.0,10.612210462258531,11
8.0,5.543851087258532,11
10.0,9.650434800961074,12
23.0,7.599515149758532,11
2.0,5.821194837258532,11
14.0,10.796292493508531,11
5.0,6.796780774758532,11
6.0,4.966702649758532,11
2.0,2.40015799855599,10
15.0,10.718094415866158,14
7.0,9.404202649758531,11
5.0,9.135647962258531,11
7.0,11.559614488461074,12
4.0,6.08375174855599,10
5.0,8.215026327163615,13
6.0,12.164106675961074,12
11.0,11.036526868508531,11
5.0,5.512601087258532,11
8.0,5.23707206105599,10
2.0,2.65699393605599,10
0.0,6.55933768605599,10
7.0,6.526272962258532,11
15.0,13.004300306008531,11
19.0,14.257718274758531,11
13.0,6.97193534230599,10
3.0,11.787015149758531,11
17.0,12.241116712258531,11
23.0,10.020413587258531,11
2.0,5.070218274758532,11
1.0,7.670804212258532,11
23.0,14.924710462258531,11
21.0,12.825589368508531,11
4.0,4.179593274758532,11
9.0,11.214887925961074,12
12.0,6.911038587258532,11
3.0,9.017483899758531,11
1.0,3.63843924855599,10
12.0,15.223815389663615,13
4.0,2.65699393605599,10
23.0,13.401272962258531,11
3.0,7.563870618508532,11
4.0,10.015530774758531,11
1.0,9.020413587258531,11
9.0,6.584866712258532,11
11.0,9.973188707211074,12
1.0,2.65699393605599,10
12.0,11.612348863461074,12
3.0,2.805569837258532,11
23.0,6.409085462258532,11
2.0,7.110257337258532,11
4.0,8.448424764663615,13
8.0,5.913968274758532,11
2.0,2.65699393605599,10
3.0,6.128323743508532,11
2.0,5.970608899758532,11
4.0,8.071683118508531,11
8.0,10.559476087258531,11
5.0,4.23121268605599,10
0.0,3.9074091396636152,13
3.0,7.857327649758532,11
2.0,5.918851087258532,11
11.0,8.768948743508531,11
1.0,2.78394706105599,10
7.0,3.55250174855599,10
2.0,5.01539237355599,10
4.0,7.564847181008532,11
1.0,6.386136243508532,11
5.0,7.374905774758532,11
8.0,9.979397962258531,11
9.0,13.090237806008531,11
5.0,6.117093274758532,11
4.0,6.577054212258532,11
23.0,8.337796399758531,11
2.0,5.772366712258532,11
5.0,7.801801988461074,12
12.0,8.299222181008531,11
4.0,6.159085462258532,11
6.0,11.043851087258531,11
12.0,10.712308118508531,11
13.0,5.11890799855599,10
23.0,5.111233899758532,11
12.0,10.475630113461074,12
5.0,5.09302909230599,10
6.0,4.71168143605599,10
13.0,8.347073743508531,11
1.0,11.206587144711074,12
5.0,10.850979993508531,11
13.0,11.082075425961074,12
1.0,9.401272962258531,11
2.0,10.745511243508531,11
8.0,5.44068534230599,10
23.0,8.919827649758531,11
6.0,11.166409681008531,11
12.0,12.335843274758531,11
7.0,5.13062674855599,10
3.0,7.938382337258532,11
3.0,4.60963065480599,10
3.0,5.675687024758532,11
6.0,8.643460462258531,11
14.0,8.232022473977281,11
1.0,2.89039237355599,10
6.0,8.323424764663615,13
9.0,5.84400565480599,10
10.0,10.032132337258531,11
7.0,9.202054212258531,11
5.0,4.90259940480599,10
0.0,12.512877889663615,13
2.0,8.323424764663615,13
11.0,7.731351087258532,11
19.0,10.848538587258531,11
0.0,6.899319837258532,11
9.0,10.370511243508531,11
2.0,5.56715018605599,10
14.0,11.452542493508531,11
9.0,6.372952649758532,11
6.0,11.022505113461074,12
2.0,2.65699393605599,10
8.0,7.857815931008532,11
3.0,13.283247300961074,12
23.0,8.492093274758531,11
17.0,13.726606675961074,12
6.0,11.381880113461074,12
7.0,7.10621268605599,10
18.0,12.495161363461074,12
10.0,8.372464368508531,11
23.0,10.955960462258531,11
7.0,7.241116712258532,11
3.0,2.835843274758532,11
2.0,7.796780774758532,11
1.0,4.787503431008532,11
4.0,5.80103690480599,10
6.0,10.668012925961074,12
1.0,5.28199393605599,10
23.0,8.556823202163615,13
2.0,7.943265149758532,11
8.0,11.576565931008531,11
8.0,6.572171399758532,11
7.0,8.676663587258531,11
19.0,8.457913587258531,11
2.0,5.404202649758532,11
1.0,7.240140149758532,11
12.0,11.733304212258531,11
11.0,13.071683118508531,11
11.0,9.043362806008531,11
6.0,10.328030774758531,11
8.0,9.658247300961074,12
12.0,6.239163587258532,11
3.0,3.536526868508532,11
15.0,13.688382337258531,11
2.0,6.681546399758532,11
9.0,8.215026327163615,13
11.0,8.215026327163615,13
21.0,3.95631034230599,10
0.0,5.456937024758532,11
1.0,5.782132337258532,11
23.0,9.090237806008531,11
2.0,6.899319837258532,11
10.0,4.789944837258532,11
23.0,14.752485582211074,12
7.0,8.514065931008531,11
5.0,5.54810721730599,10
3.0,10.807034681008531,11
1.0,8.875882337258531,11
18.0,8.184964368508531,11
0.0,3.62379081105599,10
2.0,9.212308118508531,11
6.0,11.106839368508531,11
21.0,9.618069837258531,11
3.0,7.266507337258532,11
14.0,9.267483899758531,11
7.0,9.820706556008531,11
4.0,8.386624524758531,11
3.0,11.956937024758531,11
10.0,12.957913587258531,11
4.0,2.99927909230599,10
2.0,13.027737806008531,11
5.0,5.33131034230599,10
7.0,6.393948743508532,11
4.0,5.724165269711074,12
4.0,8.556823202163615,13
13.0,3.97242362355599,10
1.0,6.451077649758532,11
6.0,10.494046399758531,11
13.0,8.834866712258531,11
0.0,4.705960462258532,11
2.0,2.65699393605599,10
5.0,8.448424764663615,13
12.0,6.566312024758532,11
12.0,6.07593924855599,10
12.0,11.750394056008531,11
23.0,12.523481675961074,12
8.0,9.065962144711074,12
0.0,10.238325425961074,12
23.0,8.572659681008531,11
2.0,3.03101737355599,10
12.0,6.15211112355599,10
23.0,5.023343274758532,11
11.0,7.599026868508532,11
4.0,8.556823202163615,13
5.0,5.675687024758532,11
21.0,11.088772962258531,11
2.0,8.215026327163615,13
0.0,4.37867362355599,10
5.0,7.636624524758532,11
4.0,5.932034681008532,11
2.0,4.607327649758532,11
2.0,8.215026327163615,13
5.0,8.152249524758531,11
1.0,6.571683118508532,11
5.0,6.564358899758532,11
14.0,7.339749524758532,11
23.0,10.599653550961074,12
